	Iozone: Performance Test of File I/O
	        Version $Revision: 3.489 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov, Sudhir Kumar.

	Run began: Sat Jul 12 22:59:25 2025

	Auto Mode
	Using maximum file size of 512000 kilobytes.
	Command line used: iozone -a -g 500m
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
          131072    8192  1307906  4242505  9517305  7167910  9958477  4160221  8767363   6769490  11555365  3392134  3526091  9593202  9518624
          131072   16384  1327861  3468517  6451033  5361912  8211462  4009777  7291983   4463868   8723678  3915533  3912718  8111387  8108396
          262144      64  1331632  4137705  8991400  7196236  9489690  3957059  8323844   8848418   9496247  4031120  3319332  5564391 10008862
          262144     128  1243112  4150152  9672515  7322471 10602832  4284660  9155897   9471868  10160642  4088516  3482246 10429047 10856607
          262144     256  1392561  4520650 10725602  7548023 10729475  4444935 10606718   8094357  10625168  4235850  4268608 10741424 10678415
          262144     512  1396411  4486066  9744436  7512593 10693994  4348184 10754662   9725216  11001078  4220161  4222414  8015930  9290982
          262144    1024  1396171  3686978 10925758  7606297 10915346  4434769  8000241   9807540  10695866  4238169  3595151  8016164 11085149
          262144    2048  1393819  3701862  8085607  7489820 10847181  4474820 10816768   9715505  10701071  4226212  4236601  9779016 11110576
          262144    4096  1369770  3658723  9525535  7458674 10901277  4411124  7992390   8945387  10433600  4042191  3485911 10592923 10751087
          262144    8192  1351871  4343083 10570315  7558037 10650590  4381330 10613168   6956961  10328726  3594117  3636855 10639048 10639356
          262144   16384  1330652  4220566  7464447  6908354  8722142  4184665  8593438   5705855   9574974  3784388  3591311  9069198  8959674

iozone test complete.
